phylum,genus,count
Pseudomonadota,Ketogulonicigenium,1
Pseudomonadota,Klebsiella,1
Pseudomonadota,Lacibacterium,1
Pseudomonadota,Maritalea,1
Pseudomonadota,Marivibrio,1
Pseudomonadota,Methylocystis,1
Pseudomonadota,Methylorubrum,1
Pseudomonadota,Methylosarcina,1
Pseudomonadota,Methylotenera,1
Pseudomonadota,Methyloversatilis,1
Pseudomonadota,Mycoplana,1
Pseudomonadota,Neisseria,1
Pseudomonadota,Neoroseomonas,1
Pseudomonadota,Neotabrizicola,1
Pseudomonadota,Niveispirillum,1
Pseudomonadota,Noviherbaspirillum,1
Pseudomonadota,Ochrobactrum,1
Pseudomonadota,Pedomicrobium,1
Pseudomonadota,Pelagibacterium,1
Pseudomonadota,Phaeovibrio,1
Pseudomonadota,Piscinibacter,1
Pseudomonadota,Prolinoborus,1
Pseudomonadota,Pseudochelatococcus,1
Pseudomonadota,Pseudochrobactrum,1
Pseudomonadota,Pseudogemmobacter,1
Pseudomonadota,Pseudomethylobacillus,1
Pseudomonadota,Pseudorhizobium,1
Pseudomonadota,Pseudorhodoferax,1
Pseudomonadota,Quisquiliibacterium,1
Pseudomonadota,Reyranella,1
Pseudomonadota,Rhodobacter,1
Pseudomonadota,Rhodocyclus,1
Pseudomonadota,Roseococcus,1
Pseudomonadota,Rudaea,1
Pseudomonadota,Shigella,1
Pseudomonadota,Stella,1
Pseudomonadota,Sutterella,1
Pseudomonadota,Tabrizicola,1
Pseudomonadota,Thiobacillus,1
Pseudomonadota,Thioflavicoccus,1
Pseudomonadota,Tsuneonella,1
Pseudomonadota,Variovorax,1
Pseudomonadota,Vineibacter,1
Pseudomonadota,Xanthobacter,1
Spirochaetota,Bullifex,1
Spirochaetota,Parasphaerochaeta,1
Synergistota,Synergistes,1
Thermodesulfobacteriota,Bilophila,1
Thermodesulfobacteriota,Desulfatiferula,1
Thermodesulfobacteriota,Desulfobacca,1
Thermodesulfobacteriota,Desulfocurvus,1
Thermodesulfobacteriota,Desulfohalovibrio,1
Thermodesulfobacteriota,Desulfonatronobacter,1
Thermodesulfobacteriota,Desulfonatronum,1
Thermodesulfobacteriota,Desulforegula,1
Thermodesulfobacteriota,Desulforhabdus,1
Thermodesulfobacteriota,Desulfurivibrio,1
Thermodesulfobacteriota,Geoalkalibacter,1
Thermodesulfobacteriota,Geotalea,1
Thermodesulfobacteriota,Nitratidesulfovibrio,1
Thermodesulfobacteriota,Oryzomonas,1
Thermodesulfobacteriota,Pelotalea,1
Verrucomicrobiota,Oleiharenicola,1
Verrucomicrobiota,Opitutus,1
Verrucomicrobiota,Prosthecobacter,1
Verrucomicrobiota,Ruficoccus,1
Verrucomicrobiota,Terrimicrobium,1
