phylum,genus,count
Bacillota,Lachnoclostridium,22
Bacillota,Marasmitruncus,22
Fibrobacterota,Chitinispirillum,22
Pseudomonadota,Acidovorax,22
Synergistota,Aminivibrio,22
Bacillota,Priestia,21
Chloroflexota,Dehalogenimonas,21
Actinomycetota,Brooklawnia,20
Bacillota,Alkalibaculum,20
Bacillota,Alkaliphilus,20
Bacillota,Anaerostipes,20
Bacillota,Propionispira,20
Bacillota,Turicibacter,20
Planctomycetota,Anatilimnocola,20
Planctomycetota,Blastopirellula,20
Planctomycetota,Lacipirellula,20
Pseudomonadota,Ferribacterium,20
Spirochaetota,Sphaerochaeta,20
Bacillota,Syntrophococcus,19
Campylobacterota,Sulfuricurvum,19
Cyanobacteriota,Gloeobacter,19
Pseudomonadota,Azospira,19
Pseudomonadota,Rhodoferax,19
Synergistota,Lactivibrio,19
Bacillota,Anaerovorax,18
Bacillota,Faecalimonas,18
Bacillota,Fusibacter,18
Bacillota,Weissella,18
Lentisphaerota,Victivallis,18
Planctomycetota,Botrimarina,18
Pseudomonadota,Camelimonas,18
Verrucomicrobiota,Akkermansia,18
Actinomycetota,Tessaracoccus,17
Bacillota,Anaerobacterium,17
Bacillota,Shouchella,17
Bacillota,Thermobacillus,17
Pseudomonadota,Paracandidimonas,17
Thermodesulfobacteriota,Pelobacter,17
Bacillota,Alkalicoccobacillus,16
Bacillota,Lawsonibacter,16
Bacillota,Ruoffia,16
Bacillota,Solibacillus,16
Bacillota,Syntrophothermus,16
Bacillota,Wansuia,16
Chloroflexota,Anaerolinea,16
Planctomycetota,Stieleria,16
Pseudomonadota,Brachymonas,16
Pseudomonadota,Diaphorobacter,16
Pseudomonadota,Paracidovorax,16
Actinomycetota,Gordonibacter,15
Bacillota,Acetoanaerobium,15
Bacillota,Fumia,15
Planctomycetota,Anaerohalosphaera,15
Pseudomonadota,Parasulfuritortus,15
Thermodesulfobacteriota,Desulfomicrobium,15
Bacteroidota,Lascolabacillus,14
Pseudomonadota,Methylibium,14
Pseudomonadota,Rhizobium,14
Synergistota,Thermovirga,14
Thermodesulfobacteriota,Desulfuromonas,14
Actinomycetota,Mariniluteicoccus,13
Actinomycetota,Parafannyhessea,13
Actinomycetota,Streptomyces,13
Bacillota,Anaerotaenia,13
Bacillota,Guggenheimella,13
Bacillota,Mobilitalea,13
Bacillota,Thermacetogenium,13
Bacillota,Thermosinus,13
Actinomycetota,Enemella,12
Actinomycetota,Solirubrobacter,12
Bacillota,Diplocloster,12
Bacillota,Herbinix,12
Bacillota,Hornefia,12
Bacillota,Robinsoniella,12
Bacteroidota,Proteiniphilum,12
Chloroflexota,Bellilinea,12
Chloroflexota,Litorilinea,12
Pseudomonadota,Pseudacidovorax,12
Bacillota,Anaerobutyricum,11
Bacillota,Butyricicoccus,11
Bacillota,Caloramator,11
Bacillota,Dysosmobacter,11
Bacillota,Facklamia,11
Bacillota,Howardella,11
Bacillota,Tepidimicrobium,11
Chloroflexota,Longilinea,11
Chloroflexota,Pelolinea,11
Planctomycetota,Bremerella,11
Pseudomonadota,Azovibrio,11
Pseudomonadota,Paracoccus,11
Thermodesulfobacteriota,Desulfovibrio,11
Actinomycetota,Gordonia,10
Actinomycetota,Patulibacter,10
Bacillota,Clostridioides,10
Bacillota,Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis,10
Bacillota,Paludihabitans,10
Bacillota,Pelosinus,10
Bacillota,Sporotomaculum,10
Bacillota,Tepidibaculum,10
Bacillota,Tyzzerella,10
Bacillota,Xylanibacillus,10
Kiritimatiellota,Kiritimatiella,10
Pseudomonadota,Devosia,10
Pseudomonadota,Propionivibrio,10
Pseudomonadota,Sphingobium,10
Thermodesulfobacteriota,Syntrophotalea,10
Thermodesulfobacteriota,Trichlorobacter,10
Actinomycetota,Nocardioides,9
Bacillota,Acutalibacter,9
Bacillota,Agathobaculum,9
Bacillota,Desulfovectis,9
Bacillota,Eshraghiella,9
Bacillota,Marinilactibacillus,9
Bacillota,Peribacillus,9
Bacillota,Succiniclasticum,9
Bacillota,Zhenpiania,9
Pseudomonadota,Agrobacterium,9
Pseudomonadota,Malikia,9
Actinomycetota,Nigerium,8
Actinomycetota,Rothia,8
Armatimonadota,Capsulimonas,8
Atribacterota,Atribacter,8
Bacillota,Desulfofundulus,8
Bacillota,Dorea,8
Bacillota,Gracilibacter,8
Bacillota,Massilistercora,8
Bacillota,Selenomonas,8
Bacteroidota,Macellibacteroides,8
Elusimicrobiota,Endomicrobium,8
Pseudomonadota,Rhodospirillum,8
Spirochaetota,Rectinema,8
Actinomycetota,Gulosibacter,7
Actinomycetota,Rubrobacter,7
Bacillota,Anaerosporobacter,7
Bacillota,Crassaminicella,7
Bacillota,Desulfallas,7
Bacillota,Desulfitobacterium,7
Bacillota,Eisenbergiella,7
Bacillota,Exiguobacterium,7
Bacillota,Gorbachella,7
Bacillota,Hydrogenispora,7
Bacillota,Ligilactobacillus,7
Bacillota,Murdochiella,7
Bacillota,Scatolibacter,7
Bacillota,Tepidibacillus,7
Bacillota,Ureibacillus,7
Bacteroidota,Duncaniella,7
Chloroflexota,Ornatilinea,7
Pseudomonadota,Allopusillimonas,7
Pseudomonadota,Falsigemmobacter,7
Pseudomonadota,Hyphomicrobium,7
Pseudomonadota,Pelistega,7
Pseudomonadota,Tibeticola,7
Thermomicrobiota,Sphaerobacter,7
Verrucomicrobiota,Methylacidimicrobium,7
Actinomycetota,Egibacter,6
Actinomycetota,Microbacterium,6
Actinomycetota,Mycolicibacterium,6
Actinomycetota,Rhabdothermincola,6
Actinomycetota,Thermophilibacter,6
Bacillota,Abyssivirga,6
Bacillota,Bhargavaea,6
Bacillota,Breznakia,6
Bacillota,Desulfonispora,6
Bacillota,Falcatimonas,6
Bacillota,Hominisplanchenecus,6
Bacillota,Mageeibacillus,6
Bacillota,Parvimonas,6
Bacillota,Pelospora,6
Bacillota,Tumebacillus,6
Bacteroidota,Bacteroides,6
Bacteroidota,Lentimicrobium,6
Elusimicrobiota,Elusimicrobium,6
Mycoplasmatota,Spiroplasma,6
Planctomycetota,Aeoliella,6
Pseudomonadota,Legionella,6
Synergistota,Pyramidobacter,6
Thermodesulfobacteriota,Alkalidesulfovibrio,6
Thermodesulfobacteriota,Desulfovirga,6
Actinomycetota,Aeromicrobium,5
Actinomycetota,Berryella,5
Actinomycetota,Conexibacter,5
Actinomycetota,Eggerthella,5
Actinomycetota,Plantactinospora,5
Actinomycetota,Propionicimonas,5
Bacillota,Agathobacter,5
Bacillota,Anaeromicropila,5
Bacillota,Anaeromusa,5
Bacillota,Anaerotalea,5
Bacillota,Anaerovibrio,5
Bacillota,Fonticella,5
Bacillota,Globicatella,5
Bacillota,Gudongella,5
Bacillota,Inconstantimicrobium,5
Bacillota,Irregularibacter,5
Bacillota,Lagierella,5
Bacillota,Oxobacter,5
Bacillota,Syntrophobotulus,5
Bacillota,Variimorphobacter,5
Bacillota,Wujia,5
Bacteroidota,Maribellus,5
Myxococcota,Chondromyces,5
Pseudomonadota,Aromatoleum,5
Pseudomonadota,Brucella,5
Pseudomonadota,Caldimonas,5
Pseudomonadota,Kiloniella,5
Pseudomonadota,Macromonas,5
Pseudomonadota,Paralcaligenes,5
Pseudomonadota,Pollutimonas,5
Pseudomonadota,Sphaerotilus,5
Pseudomonadota,Sterolibacterium,5
Spirochaetota,Teretinema,5
Thermodesulfobacteriota,Syntrophobacter,5
Verrucomicrobiota,Cephaloticoccus,5
Actinomycetota,Bifidobacterium,4
Actinomycetota,Flaviflexus,4
Actinomycetota,Gaiella,4
Actinomycetota,Kocuria,4
Actinomycetota,Mycolicibacter,4
Actinomycetota,Parvibacter,4
Actinomycetota,Protaetiibacter,4
Actinomycetota,Senegalimassilia,4
Actinomycetota,Trueperella,4
Bacillota,Acidaminobacter,4
Bacillota,Aerococcus,4
Bacillota,Anaerospora,4
Bacillota,Casaltella,4
Bacillota,Colidextribacter,4
Bacillota,Desulfitispora,4
Bacillota,Gluceribacter,4
Bacillota,Heliophilum,4
Bacillota,Hungatella,4
Bacillota,Lactonifactor,4
Bacillota,Marvinbryantia,4
Bacillota,Petrocella,4
Bacillota,Rhabdanaerobium,4
Bacillota,Soehngenia,4
Bacillota,Sporacetigenium,4
Bacillota,Thermohydrogenium,4
Bacillota,Urinicoccus,4
Bacteroidota,Muribaculum,4
Bacteroidota,Roseimarinus,4
Bacteroidota,Sunxiuqinia,4
Cyanobacteriota,Pseudanabaena,4
Planctomycetota,Roseimaritima,4
Pseudomonadota,Coxiella,4
Pseudomonadota,Dongia,4
Pseudomonadota,Dyella,4
Pseudomonadota,Hypericibacter,4
Pseudomonadota,Ideonella,4
Pseudomonadota,Luteimonas,4
Pseudomonadota,Magnetospirillum,4
Pseudomonadota,Mesorhizobium,4
Pseudomonadota,Methylovorus,4
Pseudomonadota,Serpentinimonas,4
Pseudomonadota,Thermomonas,4
Pseudomonadota,Zoogloea,4
Synergistota,Aminobacterium,4
Thermodesulfobacteriota,Desulfocurvibacter,4
Actinomycetota,Actinomyces,3
Actinomycetota,Arthrobacter,3
Actinomycetota,Kineococcus,3
Actinomycetota,Kineosphaera,3
Actinomycetota,Lancefieldella,3
Actinomycetota,Micrococcoides,3
Actinomycetota,Microlunatus,3
Actinomycetota,Ornithinimicrobium,3
Actinomycetota,Propionibacterium,3
Actinomycetota,Raineyella,3
Actinomycetota,Scrofimicrobium,3
Actinomycetota,Yinghuangia,3
Bacillota,Aliicoccus,3
Bacillota,Anaerolactibacter,3
Bacillota,Anaerosolibacter,3
Bacillota,Bianquea,3
Bacillota,Bilifractor,3
Bacillota,Bittarella (ex Durand et al. 2017),3
Bacillota,Desnuesiella,3
Bacillota,Faecalibacterium,3
Bacillota,Faecalispora,3
Bacillota,Fervidicella,3
Bacillota,Filifactor,3
Bacillota,Fusicatenibacter,3
Bacillota,Helcococcus,3
Bacillota,Hutsoniella,3
Bacillota,Jutongia,3
Bacillota,Levyella,3
Bacillota,Mahella,3
Bacillota,Peptoclostridium,3
Bacillota,Proteiniborus,3
Bacillota,Solobacterium,3
Bacillota,Sporolituus,3
Bacillota,Thermoanaerobacter,3
Bacillota,Urmitella,3
Bacillota,Vallitalea,3
Bacillota,Xylanivirga,3
Bacillota,Youngiibacter,3
Bacillota,Zhaonella,3
Bacteroidota,Mangrovibacterium,3
Bacteroidota,Mariniphaga,3
Bacteroidota,Massilibacteroides,3
Bacteroidota,Millionella,3
Bacteroidota,Paraprevotella,3
Bacteroidota,Petrimonas,3
Bdellovibrionota,Bacteriovorax,3
Fusobacteriota,Ilyobacter,3
Myxococcota,Sorangium,3
Nitrospinota,Nitrospina,3
Pseudomonadota,Achromobacter,3
Pseudomonadota,Brevundimonas,3
Pseudomonadota,Castellaniella,3
Pseudomonadota,Gemmobacter,3
Pseudomonadota,Halopseudomonas,3
Pseudomonadota,Methyloradius,3
Pseudomonadota,Microvirga,3
Pseudomonadota,Novosphingobium,3
Pseudomonadota,Orrella,3
Pseudomonadota,Oxalobacter,3
Pseudomonadota,Paenirhodobacter,3
Pseudomonadota,Roseateles,3
Pseudomonadota,Skermanella,3
Pseudomonadota,Sulfurisoma,3
Pseudomonadota,Thiomonas,3
Pseudomonadota,Tistrella,3
Spirochaetota,Leptospira,3
Spirochaetota,Sediminispirochaeta,3
Spirochaetota,Treponema,3
Synergistota,Aminomonas,3
Thermodesulfobacteriota,Desulfosarcina,3
Thermodesulfobacteriota,Geomonas,3
Acidobacteriota,Vicinamibacter,2
Actinomycetota,Aestuariimicrobium,2
Actinomycetota,Angustibacter,2
Actinomycetota,Atopobium,2
Actinomycetota,Bowdeniella,2
Actinomycetota,Brachybacterium,2
Actinomycetota,Brevibacterium,2
Actinomycetota,Citricoccus,2
Actinomycetota,Cryobacterium,2
Actinomycetota,Cutibacterium,2
Actinomycetota,Ellagibacter,2
Actinomycetota,Leifsonia,2
Actinomycetota,Microcella,2
Actinomycetota,Micrococcus,2
Actinomycetota,Mobilicoccus,2
Actinomycetota,Mycetocola,2
Actinomycetota,Naumannella,2
Actinomycetota,Neoactinobaculum,2
Actinomycetota,Olegusella,2
Actinomycetota,Prescottella,2
Actinomycetota,Propionicicella,2
Bacillota,Acetonema,2
Bacillota,Aedoeadaptatus,2
Bacillota,Ammoniphilus,2
Bacillota,Anaerophilus,2
Bacillota,Anaerosacchariphilus,2
Bacillota,Desulfohalotomaculum,2
Bacillota,Desulforadius,2
Bacillota,Desulforamulus,2
Bacillota,Desulfotomaculum,2
Bacillota,Desulfotruncus,2
Bacillota,Erysipelothrix,2
Bacillota,Eubacteriales_Incertae_sedis,2
Bacillota,Evansella,2
Bacillota,Fontibacillus,2
Bacillota,Frisingicoccus,2
Bacillota,Halanaerobium,2
Bacillota,Haloimpatiens,2
Bacillota,Heyndrickxia,2
Bacillota,Intestinibacillus,2
Bacillota,Lactimicrobium,2
Bacillota,Macrococcoides,2
Bacillota,Massilibacillus,2
Bacillota,Megamonas,2
Bacillota,Megasphaera,2
Bacillota,Mitsuokella,2
Bacillota,Mobilisporobacter,2
Bacillota,Natranaerovirga,2
Bacillota,Neobacillus,2
Bacillota,Niallia,2
Bacillota,Pectinatus,2
Bacillota,Pelorhabdus,2
Bacillota,Peptacetobacter,2
Bacillota,Peptostreptococcus,2
Bacillota,Phosphitispora,2
Bacillota,Proteocatella,2
Bacillota,Pullulanibacillus,2
Bacillota,Pusillibacter,2
Bacillota,Rummeliibacillus,2
Bacillota,Sporosarcina,2
Bacillota,Subdoligranulum,2
Bacillota,Thermaerobacter,2
Bacillota,Thermotalea,2
Bacteroidota,Aquipluma,2
Bacteroidota,Mucinivorans,2
Bacteroidota,Odoribacter,2
Bacteroidota,Prolixibacter,2
Bacteroidota,Tidjanibacter,2
Deinococcota,Truepera,2
Mycoplasmatota,Paracholeplasma,2
Myxococcota,Racemicystis,2
Planctomycetota,Thermogutta,2
Pseudomonadota,Aminobacter,2
