phylum,family,count
Elusimicrobiota,Elusimicrobiaceae,6
Mycoplasmatota,Spiroplasmataceae,6
Pseudomonadota,Erythrobacteraceae,6
Pseudomonadota,Legionellaceae,6
Pseudomonadota,Methylobacteriaceae,6
Pseudomonadota,Rhodanobacteraceae,6
Synergistota,Dethiosulfovibrionaceae,6
Actinomycetota,Conexibacteraceae,5
Bacillota,Veillonellaceae,5
Pseudomonadota,Caulobacteraceae,5
Pseudomonadota,Kiloniellaceae,5
Actinomycetota,Bifidobacteriaceae,4
Actinomycetota,Gaiellaceae,4
Bacillota,Acidaminobacteraceae,4
Bacillota,Desulfitisporaceae,4
Bacillota,Heliobacteriaceae,4
Bacillota,Tepidibacteraceae,4
Bacillota,Thermohalobacteraceae,4
Cyanobacteriota,Pseudanabaenaceae,4
Fusobacteriota,Fusobacteriaceae,4
Pseudomonadota,Coxiellaceae,4
Pseudomonadota,Oxalobacteraceae,4
Pseudomonadota,Rhodobacterales_Incertae_sedis,4
Spirochaetota,Spirochaetaceae,4
Actinomycetota,Nocardiaceae,3
Actinomycetota,Ornithinimicrobiaceae,3
Bacillota,Bianqueaceae,3
Bacillota,Peptoclostridiaceae,3
Bacillota,Thermoanaerobacterales Family IV. Incertae Sedis,3
Bacillota,Thermosediminibacteraceae,3
Bacillota,Xylanivirgaceae,3
Bacillota,Zhaonellaceae,3
Bdellovibrionota,Bacteriovoracaceae,3
Nitrospinota,Nitrospinaceae,3
Pseudomonadota,Geminicoccaceae,3
Pseudomonadota,Hyphomicrobiales_Incertae_sedis,3
Pseudomonadota,Methylococcaceae,3
Spirochaetota,Leptospiraceae,3
Thermodesulfobacteriota,Desulfosarcinaceae,3
Acidobacteriota,Acidobacteriaceae,2
Acidobacteriota,Vicinamibacteraceae,2
Actinomycetota,Brevibacteriaceae,2
Actinomycetota,Dermabacteraceae,2
Actinomycetota,Intrasporangiaceae,2
Actinomycetota,Nocardiopsidaceae,2
Bacillota,Anoxybacillaceae,2
Bacillota,Clostridiales Family XVII. Incertae Sedis,2
Bacillota,Halanaerobiaceae,2
Bacillota,Moorellaceae,2
Bacillota,Natranaerobiaceae,2
Bacillota,Natranaerovirgaceae,2
Bacillota,Sporolactobacillaceae,2
Bacillota,Thermoactinomycetaceae,2
Bacteroidota,Marinilabiliaceae,2
Bacteroidota,Odoribacteraceae,2
Deinococcota,Trueperaceae,2
Mycoplasmatota,Acholeplasmataceae,2
Pseudomonadota,Aurantimonadaceae,2
Pseudomonadota,Enterobacteriaceae,2
Pseudomonadota,Kaistiaceae,2
Pseudomonadota,Neisseriaceae,2
Pseudomonadota,Parvibaculaceae,2
Pseudomonadota,Xanthobacteraceae,2
Pseudomonadota,Zavarziniaceae,2
Spirochaetota,Breznakiellaceae,2
Verrucomicrobiota,Chthoniobacteraceae,2
Acidobacteriota,Holophagaceae,1
Actinomycetota,Beutenbergiaceae,1
Actinomycetota,Dermacoccaceae,1
Actinomycetota,Geodermatophilaceae,1
Actinomycetota,Ilumatobacteraceae,1
Actinomycetota,Micrococcales_Incertae_sedis,1
Actinomycetota,Motilibacteraceae,1
Actinomycetota,Ruaniaceae,1
Actinomycetota,Sporichthyaceae,1
Actinomycetota,Tsukamurellaceae,1
Armatimonadota,Chthonomonadaceae,1
Bacillota,Coprobacillaceae,1
Bacillota,Defluviitaleaceae,1
Bacillota,Desulfuribacillaceae,1
Bacillota,Lutisporaceae,1
Bacillota,Salinicoccaceae,1
Bacillota,Symbiobacteriaceae,1
Bacillota,Thermincolaceae,1
Bacillota,Thermoanaerobacterales Family III. Incertae Sedis,1
Bacillota,Tindalliaceae,1
Bacteroidota,Barnesiellaceae,1
Bacteroidota,Haliscomenobacteraceae,1
Bacteroidota,Marinifilaceae,1
Bacteroidota,Tenuifilaceae,1
Bdellovibrionota,Halobacteriovoraceae,1
Bdellovibrionota,Oligoflexaceae,1
Bdellovibrionota,Pseudobdellovibrionaceae,1
Bdellovibrionota,Silvanigrellaceae,1
Calditrichota,Calditrichota_Incertae_sedis,1
Campylobacterota,Sulfurovaceae,1
Chlorobiota,Chlorobiaceae,1
Chloroflexota,Aggregatilineaceae,1
Cyanobacteriota,Chroococcaceae,1
Cyanobacteriota,Microcoleaceae,1
Cyanobacteriota,Wilmottiaceae,1
Lentisphaerota,Oligosphaeraceae,1
Methanobacteriota,Methanocorpusculaceae,1
Mycoplasmatota,Mycoplasmoidaceae,1
Myxococcota,Phaselicystidaceae,1
Planctomycetota,Gemmataceae,1
Pseudomonadota,Acetobacteraceae,1
Pseudomonadota,Bartonellaceae,1
Pseudomonadota,Beijerinckiaceae,1
Pseudomonadota,Burkholderiaceae,1
Pseudomonadota,Caedimonadaceae,1
Pseudomonadota,Chromatiaceae,1
Pseudomonadota,Ectothiorhodospiraceae,1
Pseudomonadota,Methylocystaceae,1
Pseudomonadota,Reyranellaceae,1
Pseudomonadota,Roseobacteraceae,1
Pseudomonadota,Roseomonadaceae,1
Pseudomonadota,Stellaceae,1
Pseudomonadota,Sutterellaceae,1
Thermodesulfobacteriota,Desulfobaccaceae,1
Thermodesulfobacteriota,Desulfobacteraceae,1
Thermodesulfobacteriota,Desulfonatronaceae,1
Thermodesulfobacteriota,Desulforegulaceae,1
Thermodesulfobacteriota,Desulfosalsimonadaceae,1
Thermodesulfobacteriota,Geoalkalibacteraceae,1
Verrucomicrobiota,Cerasicoccaceae,1
Verrucomicrobiota,Terrimicrobiaceae,1
Verrucomicrobiota,Verrucomicrobiaceae,1
