tax	AmbarAyunda_minimap2_16S	total
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Tissierellaceae;Tissierella;Tissierella creatinini	71.0	71.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Propionispora;Propionispora hippei	70.0	70.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas terrigena	68.0	68.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas defluvii	68.0	68.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Proteiniclasticum;Proteiniclasticum ruminis	68.0	68.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum;Solibaculum mannosilyticum	67.0	67.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Petroclostridium;Petroclostridium xylanilyticum	65.0	65.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira;Simplicispira lacusdiani	64.0	64.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas thiooxydans	64.0	64.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Yeguiaceae;Yeguia;Yeguia hominis	64.0	64.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio ethanolgignens	62.0	62.0
Bacteria;Bacillati;Armatimonadota;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Armatimonas rosea	61.0	61.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vincentii	61.0	61.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Sporomusa;Sporomusa malonica	60.0	60.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Congzhengia;Congzhengia minquanensis	60.0	60.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Azonexus;Azonexus hydrophilus	59.0	59.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans;Limnohabitans planktonicus	57.0	57.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Posidoniimonas;Posidoniimonas polymericola	56.0	56.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Thermanaerosceptrum;Thermanaerosceptrum fracticalcis	56.0	56.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter iarius	56.0	56.0
Bacteria;Bacillati;Chloroflexota;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;Caldilinea aerophila	55.0	55.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas massiliensis (ex Afouda et al. 2020)	55.0	55.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus albus	54.0	54.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae;Miltoncostaea;Miltoncostaea oceani	53.0	53.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;Trichococcus patagoniensis	53.0	53.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas curvata	52.0	52.0
Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Aliarcobacter;Aliarcobacter cibarius	52.0	52.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster aldenensis	52.0	52.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella intestinalis	51.0	51.0
Bacteria;Pseudomonadati;Thermodesulfobacteriota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus;Syntrophus aciditrophicus	50.0	50.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus turicensis	50.0	50.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pygmaiobacter;Pygmaiobacter massiliensis	50.0	50.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium sufflavum	50.0	50.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	49.0	49.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pollutisoli	49.0	49.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Thermoclostridium;Thermoclostridium caenicola	49.0	49.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;Fermentimonas caenicola	48.0	48.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Konateibacter;Konateibacter massiliensis	47.0	47.0
Bacteria;Pseudomonadati;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;Ignavibacterium album	47.0	47.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter chinensis	47.0	47.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas butyriciproducens	47.0	47.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Massilioclostridium;Massilioclostridium coli	47.0	47.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Caproiciproducens;Caproiciproducens galactitolivorans	47.0	47.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus polymyxa	47.0	47.0
Bacteria;Pseudomonadati;Kiritimatiellota;Tichowtungiia;Tichowtungiales;Tichowtungiaceae;Tichowtungia;Tichowtungia aerotolerans	47.0	47.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ructibacterium;Ructibacterium gallinarum	46.0	46.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus licheniformis	46.0	46.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter exalbidus	46.0	46.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium chauvoei	46.0	46.0
