SampleID	Depth	RankCode	NodeName	TaxonPath	TaxID	Status	ResolutionSource
Helga-16SrRNA-NCBI	6	F	Cyclobacteriaceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	7	G	Cecembia	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cecembia	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Cecembia lonarensis	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cecembia;Cecembia lonarensis	1225176	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Cecembia calidifontis	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cecembia;Cecembia calidifontis	1187080	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Algoriphagus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Algoriphagus olei	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus olei	568072	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Algoriphagus aquatilis	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus aquatilis	490186	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Algoriphagus marincola	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus marincola	264027	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Algoriphagus lacus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus lacus	2056311	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Algoriphagus sanaruensis	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus sanaruensis	1727163	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Algoriphagus taiwanensis	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus taiwanensis	1445656	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Aquiflexum	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Aquiflexum	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Aquiflexum balticum	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Aquiflexum;Aquiflexum balticum	280473	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Cyclobacterium	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Cyclobacterium xiamenense	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium;Cyclobacterium xiamenense	1297121	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Fontibacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Fontibacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Fontibacter flavus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Fontibacter;Fontibacter flavus	654838	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Cognataquiflexum	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cognataquiflexum	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Cognataquiflexum aquatile	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cognataquiflexum;Cognataquiflexum aquatile	2249427	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Echinicola	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Echinicola	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Echinicola sediminis	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Echinicola;Echinicola sediminis	1928082	Resolved	assignment
Helga-16SrRNA-NCBI	6	F	Hymenobacteraceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	7	G	Adhaeribacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Adhaeribacter aquaticus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter aquaticus	299567	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Adhaeribacter swui	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter swui	2086471	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Adhaeribacter pallidiroseus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter pallidiroseus	2072847	Resolved	assignment
Helga-16SrRNA-NCBI	6	F	Spirosomataceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	7	G	Dyadobacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Dyadobacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Dyadobacter flavus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Dyadobacter;Dyadobacter flavus	2705330	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Arundinibacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Arundinibacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Arundinibacter roseus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Arundinibacter;Arundinibacter roseus	2070510	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Runella	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Runella	0	Unresolved	unresolved
