dataset	scenario	min_identity	min_ref_coverage	inferred_taxid	superkingdom	kingdom	phylum	class	order	family	genus	species	newly_rescued_reads
BLEA	identity_88	88	90	1816678	Bacteria	Bacillati	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenella	Christensenella timonensis	21
BLEA	identity_88	88	90	1503	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Gottschalkiaceae	Gottschalkia	Gottschalkia purinilytica	20
BLEA	identity_88	88	90	109327	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovorax	Anaerovorax odorimutans	20
BLEA	identity_88	88	90	1983706	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter weissii	20
BLEA	identity_88	88	90	683042	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter denitrificans	19
BLEA	identity_88	88	90	1715347	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Rhabdanaerobium	Rhabdanaerobium thermarum	19
BLEA	identity_88	88	90	398235	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter chromiireducens	18
BLEA	identity_88	88	90	525903	Bacteria	Thermotogati	Synergistota	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	Thermanaerovibrio acidaminovorans	18
BLEA	identity_88	88	90	1796619	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Irregularibacter	Irregularibacter muris	18
BLEA	identity_88	88	90	229920	Bacteria	Bacillati	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	Leptolinea tardivitalis	17
BLEA	identity_88	88	90	380911	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Parapusillimonas	Parapusillimonas granuli	17
BLEA	identity_88	88	90	698647	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Aquamicrobium	Aquamicrobium aestuarii	17
BLEA	identity_88	88	90	29376	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulfofundulus	Desulfofundulus thermobenzoicus	16
BLEA	identity_88	88	90	320502	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio alkalicellulosi	16
BLEA	identity_88	88	90	552810	Bacteria	Bacillati	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalogenimonas	Dehalogenimonas lykanthroporepellens	16
BLEA	identity_88	88	90	1909699	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus oligotrophicus	16
BLEA	identity_88	88	90	1510	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Thermoclostridium	Thermoclostridium stercorarium	15
BLEA	identity_88	88	90	108007	Bacteria	Thermotogati	Synergistota	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	Thermanaerovibrio velox	15
BLEA	identity_88	88	90	663278	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ethanoligenens	Ethanoligenens harbinense	15
BLEA	identity_88	88	90	1121431	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfallas	Desulfallas thermosapovorans	15
BLEA	identity_88	88	90	1236046	Bacteria	Thermotogati	Thermotogota	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga	Mesotoga infera	15
BLEA	identity_88	88	90	1642646	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas	Petrimonas mucosa	15
BLEA	identity_88	88	90	2897352	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides alcanivorans	14
BLEA	identity_88	88	90	160385	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Thermoclostridium	Thermoclostridium stercorarium	13
BLEA	identity_88	88	90	314583	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulfofundulus	Desulfofundulus salinus	13
BLEA	identity_88	88	90	411923	Bacteria	Bacillati	Bacillota	Clostridia	Moorellales	Moorellaceae	Moorella	Moorella perchloratireducens	13
BLEA	identity_88	88	90	457570	Bacteria	Bacillati	Bacillota	Clostridia	Natranaerobiales	Natranaerobiaceae	Natranaerobius	Natranaerobius thermophilus	13
BLEA	identity_88	88	90	1324956	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Melghiribacillus	Melghiribacillus thermohalophilus	13
BLEA	identity_88	88	90	2763660	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Feifaniaceae	Feifania	Feifania hominis	13
BLEA	identity_88	88	90	53463	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	Paracoccus solventivorans	12
BLEA	identity_88	88	90	294710	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum	Proteiniphilum acetatigenes	12
BLEA	identity_88	88	90	1628158	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Mariniphaga	Mariniphaga sediminis	12
BLEA	identity_88	88	90	1784719	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter triazinivorans	12
BLEA	identity_88	88	90	1851544	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Orrella	Orrella dioscoreae	12
BLEA	identity_88	88	90	29371	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminiclostridium	Ruminiclostridium cellobioparum	11
BLEA	identity_88	88	90	31909	Bacteria	Bacillati	Bacillota	Clostridia	Halanaerobiales	Halothermotrichaceae	Halothermothrix	Halothermothrix orenii	11
BLEA	identity_88	88	90	66199	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Syntrophomonas	Syntrophomonas sapovorans	11
