dataset	min_identity	min_ref_coverage	classified_reads	newly_rescued_reads	remaining_unclassified	classified_pct	rescued_pct_of_baseline_unclassified
BAER	80	84	69349	20143	5093	93.1584	79.8185
BAER	80	83	70186	20980	4256	94.2828	83.1352
BAER	80	82	70602	21396	3840	94.8416	84.7836
BAER	80	81	71000	21794	3442	95.3763	86.3608
BAER	80	80	71406	22200	3036	95.9217	87.9696
BANAE	90	90	30492	0	21982	58.1088	0.0000
BANAE	90	89	30674	182	21800	58.4556	0.8280
BANAE	90	88	30978	486	21496	59.0350	2.2109
BANAE	90	87	31516	1024	20958	60.0602	4.6584
BANAE	90	86	32327	1835	20147	61.6057	8.3477
BANAE	90	85	33292	2800	19182	63.4448	12.7377
BANAE	90	84	34338	3846	18136	65.4381	17.4961
BANAE	90	83	34690	4198	17784	66.1089	19.0974
BANAE	90	82	34834	4342	17640	66.3834	19.7525
BANAE	90	81	34946	4454	17528	66.5968	20.2620
BANAE	90	80	35094	4602	17380	66.8788	20.9353
BANAE	89	90	32864	2372	19610	62.6291	10.7906
BANAE	89	89	33101	2609	19373	63.0808	11.8688
BANAE	89	88	33452	2960	19022	63.7497	13.4656
BANAE	89	87	34114	3622	18360	65.0112	16.4771
BANAE	89	86	35060	4568	17414	66.8140	20.7806
BANAE	89	85	36246	5754	16228	69.0742	26.1760
BANAE	89	84	37468	6976	15006	71.4030	31.7351
BANAE	89	83	37883	7391	14591	72.1938	33.6230
BANAE	89	82	38053	7561	14421	72.5178	34.3963
BANAE	89	81	38195	7703	14279	72.7884	35.0423
BANAE	89	80	38375	7883	14099	73.1315	35.8612
BANAE	88	90	35586	5094	16888	67.8164	23.1735
BANAE	88	89	35856	5364	16618	68.3310	24.4018
BANAE	88	88	36234	5742	16240	69.0513	26.1214
BANAE	88	87	36964	6472	15510	70.4425	29.4423
BANAE	88	86	38037	7545	14437	72.4873	34.3235
BANAE	88	85	39398	8906	13076	75.0810	40.5150
BANAE	88	84	40808	10316	11666	77.7680	46.9293
BANAE	88	83	41285	10793	11189	78.6771	49.0993
BANAE	88	82	41494	11002	10980	79.0754	50.0500
BANAE	88	81	41663	11171	10811	79.3974	50.8189
BANAE	88	80	41877	11385	10597	79.8052	51.7924
BANAE	87	90	37233	6741	15241	70.9551	30.6660
BANAE	87	89	37526	7034	14948	71.5135	31.9989
BANAE	87	88	37931	7439	14543	72.2853	33.8413
BANAE	87	87	38718	8226	13756	73.7851	37.4215
BANAE	87	86	39867	9375	12607	75.9748	42.6485
BANAE	87	85	41366	10874	11108	78.8314	49.4677
BANAE	87	84	42941	12449	9533	81.8329	56.6327
BANAE	87	83	43502	13010	8972	82.9020	59.1848
BANAE	87	82	43736	13244	8738	83.3479	60.2493
BANAE	87	81	43921	13429	8553	83.7005	61.0909
BANAE	87	80	44160	13668	8314	84.1560	62.1781
BANAE	86	90	39062	8570	13412	74.4407	38.9864
BANAE	86	89	39371	8879	13103	75.0295	40.3921
BANAE	86	88	39785	9293	12689	75.8185	42.2755
BANAE	86	87	40603	10111	11871	77.3774	45.9967
BANAE	86	86	41831	11339	10643	79.7176	51.5831
BANAE	86	85	43454	12962	9020	82.8105	58.9664
BANAE	86	84	45157	14665	7317	86.0560	66.7137
BANAE	86	83	45759	15267	6715	87.2032	69.4523
BANAE	86	82	46015	15523	6459	87.6910	70.6169
BANAE	86	81	46225	15733	6249	88.0912	71.5722
BANAE	86	80	46489	15997	5985	88.5944	72.7732
BANAE	85	90	40055	9563	12419	76.3330	43.5038
BANAE	85	89	40372	9880	12102	76.9371	44.9459
BANAE	85	88	40797	10305	11677	77.7471	46.8793
BANAE	85	87	41637	11145	10837	79.3479	50.7006
BANAE	85	86	42895	12403	9579	81.7452	56.4234
BANAE	85	85	44597	14105	7877	84.9888	64.1661
BANAE	85	84	46380	15888	6094	88.3866	72.2773
BANAE	85	83	47021	16529	5453	89.6082	75.1933
BANAE	85	82	47296	16804	5178	90.1323	76.4444
BANAE	85	81	47523	17031	4951	90.5649	77.4770
BANAE	85	80	47799	17307	4675	91.0908	78.7326
BANAE	84	90	40508	10016	11966	77.1963	45.5646
BANAE	84	89	40829	10337	11645	77.8081	47.0248
BANAE	84	88	41259	10767	11215	78.6275	48.9810
BANAE	84	87	42108	11616	10366	80.2455	52.8432
BANAE	84	86	43379	12887	9095	82.6676	58.6252
BANAE	84	85	45133	14641	7341	86.0102	66.6045
BANAE	84	84	46957	16465	5517	89.4862	74.9022
BANAE	84	83	47619	17127	4855	90.7478	77.9137
BANAE	84	82	47901	17409	4573	91.2852	79.1966
BANAE	84	81	48134	17642	4340	91.7292	80.2566
BANAE	84	80	48434	17942	4040	92.3009	81.6213
BANAE	83	90	40840	10348	11634	77.8290	47.0749
BANAE	83	89	41163	10671	11311	78.4446	48.5443
BANAE	83	88	41593	11101	10881	79.2640	50.5004
BANAE	83	87	42444	11952	10030	80.8858	54.3718
BANAE	83	86	43719	13227	8755	83.3155	60.1720
BANAE	83	85	45492	15000	6982	86.6944	68.2376
BANAE	83	84	47341	16849	5133	90.2180	76.6491
BANAE	83	83	48011	17519	4463	91.4948	79.6970
BANAE	83	82	48297	17805	4177	92.0399	80.9981
BANAE	83	81	48537	18045	3937	92.4972	82.0899
BANAE	83	80	48843	18351	3631	93.0804	83.4819
BANAE	82	90	41021	10529	11453	78.1740	47.8983
BANAE	82	89	41347	10855	11127	78.7952	49.3813
BANAE	82	88	41778	11286	10696	79.6166	51.3420
BANAE	82	87	42630	12138	9844	81.2402	55.2179
BANAE	82	86	43917	13425	8557	83.6929	61.0727
BANAE	82	85	45697	15205	6777	87.0850	69.1702
BANAE	82	84	47559	17067	4915	90.6335	77.6408
BANAE	82	83	48236	17744	4238	91.9236	80.7206
BANAE	82	82	48524	18032	3950	92.4725	82.0308
BANAE	82	81	48774	18282	3700	92.9489	83.1680
BANAE	82	80	49086	18594	3388	93.5435	84.5874
BANAE	81	90	41174	10682	11300	78.4655	48.5943
BANAE	81	89	41501	11009	10973	79.0887	50.0819
BANAE	81	88	41932	11440	10542	79.9101	52.0426
BANAE	81	87	42787	12295	9687	81.5394	55.9321
BANAE	81	86	44092	13600	8382	84.0264	61.8688
BANAE	81	85	45880	15388	6594	87.4338	70.0027
BANAE	81	84	47755	17263	4719	91.0070	78.5324
BANAE	81	83	48437	17945	4037	92.3067	81.6350
BANAE	81	82	48728	18236	3746	92.8612	82.9588
BANAE	81	81	48985	18493	3489	93.3510	84.1279
BANAE	81	80	49308	18816	3166	93.9665	85.5973
BANAE	80	90	41291	10799	11183	78.6885	49.1266
BANAE	80	89	41618	11126	10856	79.3117	50.6141
BANAE	80	88	42050	11558	10424	80.1349	52.5794
BANAE	80	87	42906	12414	9568	81.7662	56.4735
